booking_id,partner_id,city,category,booking_date,amount_inr,complaint_flag,sla_breach_flag,is_test
B0083,P032,Pune,Deep Home Cleaning,2026-03-11,1636,0.0,0,0
B0084,P013,Mumbai,AC Repair & Service,2026-02-10,2061,0.0,0,0
B0085,P030,Pune,Electrical Repair,2026-03-13,393,1.0,0,0
B0086,P037,Hyderabad,Deep Home Cleaning,2026-02-29,4468,0.0,0,0
B0087,P034,Hyderabad,Salon for Women,2026-02-16,3235,0.0,0,0
B0088,P010,Mumbai,Salon for Men,2026-03-16,903,0.0,0,0
B0089,P008,Bengaluru,Salon for Women,2026-02-15,899,0.0,0,0
B0090,P013,Mumbai,AC Repair & Service,2026-01-12,1170,0.0,0,0
B0091,P044,Chennai,Electrical Repair,2026-02-12,1743,0.0,1,0
B0092,P013,Mumbai,AC Repair & Service,2026-02-27,600,0.0,0,0
B0093,P021,Delhi NCR,AC Repair & Service,2026-01-24,2259,0.0,0,0
B0094,P004,Bengaluru,Electrical Repair,2026-03-07,404,1.0,0,0
B0095,P007,Bengaluru,Deep Home Cleaning,2026-03-27,4534,0.0,0,0
B0096,P004,Bengaluru,Electrical Repair,2026-02-01,344,0.0,0,0
B0097,P005,Bengaluru,Deep Home Cleaning,2026-03-30,4555,0.0,0,0
B0098,P007,Bengaluru,Deep Home Cleaning,2026-02-21,2278,0.0,1,0
B0099,P032,Pune,Deep Home Cleaning,2026-01-13,3983,1.0,1,0
B0100,P010,Mumbai,Salon for Men,2026-03-27,507,0.0,1,0
B0101,P010,Mumbai,Salon for Men,2026-01-29,536,0.0,0,0
B0102,P038,Hyderabad,Electrical Repair,2026-03-19,1764,0.0,0,0
B0103,P041,Chennai,Plumbing,2026-01-30,741,0.0,0,0
B0104,P007,Bengaluru,Deep Home Cleaning,2026-02-30,2420,1.0,0,0
B0105,P041,Chennai,Plumbing,2026-02-22,484,0.0,0,0
B0106,P033,Hyderabad,Plumbing,2026-01-21,711,0.0,0,0
B0107,P001,Bengaluru,AC Repair & Service,2026-02-27,965,0.0,0,0
B0108,P020,Delhi NCR,Deep Home Cleaning,2026-03-10,3136,0.0,0,0
B0109,P046,Chennai,Deep Home Cleaning,2026-01-13,4173,0.0,0,0
B0110,P005,Bengaluru,Deep Home Cleaning,2026-03-16,1424,0.0,0,0
B0111,P011,Mumbai,Deep Home Cleaning,2026-02-18,1118,0.0,0,0
B0112,P020,Delhi NCR,Deep Home Cleaning,2026-01-08,1640,0.0,0,0
B0113,P005,Bengaluru,Deep Home Cleaning,2026-01-02,2317,0.0,0,0
B0114,P040,Hyderabad,Salon for Men,2026-02-17,1339,0.0,0,0
B0115,P004,Bengaluru,Electrical Repair,2026-03-13,1815,1.0,0,0
B0116,P028,Pune,Electrical Repair,2026-01-15,1403,0.0,0,0
B0117,P015,Mumbai,Salon for Women,2026-03-17,2890,0.0,0,0
B0118,P026,Pune,Salon for Men,2026-01-09,850,0.0,0,0
B0119,P040,Hyderabad,Salon for Men,2026-03-05,504,1.0,0,0
B0120,P009,Mumbai,Deep Home Cleaning,2026-01-20,2198,0.0,0,0
B0121,P026,Pune,Salon for Men,2026-03-27,1407,0.0,0,0
B0122,P004,Bengaluru,Electrical Repair,2026-01-11,1607,1.0,1,0
B0123,P038,Hyderabad,Electrical Repair,2026-02-26,1412,0.0,1,0
B0124,P032,Pune,Deep Home Cleaning,2026-01-28,4535,0.0,0,0
B0125,P029,Pune,Deep Home Cleaning,2026-01-07,1927,0.0,1,0
B0126,P017,Delhi NCR,Electrical Repair,2026-03-04,982,0.0,0,0
B0127,P048,Chennai,Plumbing,2026-02-29,898,0.0,0,0
B0128,P018,Delhi NCR,Deep Home Cleaning,2026-01-05,1697,0.0,0,0
B0129,P019,Delhi NCR,Plumbing,2026-03-10,263,0.0,1,0
B0130,P030,Pune,Electrical Repair,2026-01-19,812,0.0,1,0
B0131,P038,Hyderabad,Electrical Repair,2026-01-14,1789,0.0,0,0
B0132,P009,Mumbai,Deep Home Cleaning,2026-03-16,2292,1.0,0,0
B0133,P042,Chennai,Deep Home Cleaning,2026-02-16,2275,0.0,0,0
B0134,P028,Pune,Electrical Repair,2026-01-23,1502,0.0,0,0
B0135,P030,Pune,Electrical Repair,2026-01-20,1767,0.0,0,0
B0136,P026,Pune,Salon for Men,2026-01-26,544,0.0,0,0
B0137,P037,Hyderabad,Deep Home Cleaning,2026-01-15,4923,0.0,0,0
B0138,P019,Delhi NCR,Plumbing,2026-02-17,1122,0.0,0,0
B0139,P030,Pune,Electrical Repair,2026-01-09,712,0.0,0,0
B0140,P031,Pune,Salon for Women,2026-01-19,2824,0.0,0,0
B0141,P025,Pune,Deep Home Cleaning,2026-03-22,1425,0.0,1,0
B0142,P036,Hyderabad,Salon for Men,2026-01-04,830,0.0,1,0
B0143,P047,Chennai,Plumbing,2026-01-02,1004,1.0,0,0
B0144,P009,Mumbai,Deep Home Cleaning,2026-01-25,1280,0.0,0,0
B0145,P042,Chennai,Deep Home Cleaning,2026-03-24,2291,1.0,1,0
B0146,P004,Bengaluru,Electrical Repair,2026-03-09,438,0.0,0,0
B0147,P021,Delhi NCR,AC Repair & Service,2026-01-13,1555,0.0,0,0
B0148,P012,Mumbai,AC Repair & Service,2026-02-09,1422,0.0,1,0
B0149,P040,Hyderabad,Salon for Men,2026-03-13,672,0.0,0,0
B0150,P013,Mumbai,AC Repair & Service,2026-02-27,1943,0.0,0,0
B0151,P022,Delhi NCR,Plumbing,2026-03-30,1441,0.0,0,0
B0152,P018,Delhi NCR,Deep Home Cleaning,2026-03-05,2430,1.0,0,0
B0153,P004,Bengaluru,Electrical Repair,2026-01-13,1076,0.0,0,0
B0154,P048,Chennai,Plumbing,2026-01-23,597,0.0,0,0
B0155,P028,Pune,Electrical Repair,2026-01-29,1876,0.0,0,0
B0156,P027,Pune,Salon for Women,2026-02-19,3352,0.0,0,0
B0157,P017,Delhi NCR,Electrical Repair,2026-01-10,1621,0.0,0,0
B0158,P043,Chennai,Plumbing,2026-02-21,1309,0.0,0,0
B0159,P045,Chennai,Deep Home Cleaning,2026-02-17,1592,0.0,0,0
B0160,P027,Pune,Salon for Women,2026-02-06,3109,1.0,0,0
B0161,P024,Delhi NCR,AC Repair & Service,2026-03-30,2356,0.0,0,0
B0162,P041,Chennai,Plumbing,2026-02-29,738,0.0,0,0
B0163,P030,Pune,Electrical Repair,2026-02-18,272,0.0,0,0
B0164,P043,Chennai,Plumbing,2026-02-29,666,0.0,0,0
B0165,P033,Hyderabad,Plumbing,2026-01-14,1262,0.0,0,0
B0166,P030,Pune,Electrical Repair,2026-01-14,270,0.0,1,0
B0167,P042,Chennai,Deep Home Cleaning,2026-02-13,2037,0.0,0,0
B0168,P025,Pune,Deep Home Cleaning,2026-02-15,2219,0.0,0,0
B0169,P040,Hyderabad,Salon for Men,2026-01-05,669,0.0,0,0
B0170,P011,Mumbai,Deep Home Cleaning,2026-02-10,1552,0.0,0,0
B0171,P011,Mumbai,Deep Home Cleaning,2026-02-21,3956,0.0,0,0
B0172,P045,Chennai,Deep Home Cleaning,2026-01-11,2899,0.0,1,0
B0173,P019,Delhi NCR,Plumbing,2026-01-22,1147,0.0,0,0
B0174,P012,Mumbai,AC Repair & Service,2026-01-22,1476,0.0,0,0
B0175,P009,Mumbai,Deep Home Cleaning,2026-03-22,4140,0.0,0,0
B0176,P009,Mumbai,Deep Home Cleaning,2026-01-16,2509,0.0,0,0
B0177,P043,Chennai,Plumbing,2026-03-09,712,0.0,0,0
B0178,P046,Chennai,Deep Home Cleaning,2026-03-10,4595,0.0,0,0
B0179,P032,Pune,Deep Home Cleaning,2026-03-28,1975,0.0,1,0
B0180,P028,Pune,Electrical Repair,2026-03-17,1258,0.0,0,0
B0181,P047,Chennai,Plumbing,2026-01-17,384,0.0,0,0
B0182,P023,Delhi NCR,Salon for Women,2026-02-15,2738,0.0,0,0
B0183,P004,Bengaluru,Electrical Repair,2026-01-28,1195,0.0,0,0
B0184,P043,Chennai,Plumbing,2026-02-13,1004,0.0,0,0
B0185,P044,Chennai,Electrical Repair,2026-01-28,1352,0.0,0,0
B0186,P005,Bengaluru,Deep Home Cleaning,2026-03-23,4287,0.0,0,0
B0187,P036,Hyderabad,Salon for Men,2026-03-25,697,1.0,0,0
B0188,P046,Chennai,Deep Home Cleaning,2026-01-18,2802,0.0,0,0
B0189,P026,Pune,Salon for Men,2026-01-04,1294,1.0,0,0
B0190,P009,Mumbai,Deep Home Cleaning,2026-01-17,4189,0.0,0,0
B0191,P040,Hyderabad,Salon for Men,2026-03-22,1165,0.0,0,0
B0192,P037,Hyderabad,Deep Home Cleaning,2026-02-28,1041,0.0,0,0
B0193,P037,Hyderabad,Deep Home Cleaning,2026-02-26,1473,0.0,1,0
B0194,P035,Hyderabad,Electrical Repair,2026-03-06,385,0.0,0,0
B0195,P009,Mumbai,Deep Home Cleaning,2026-01-25,3429,0.0,0,0
B0196,P003,Bengaluru,AC Repair & Service,2026-02-28,2121,1.0,0,0
B0197,P009,Mumbai,Deep Home Cleaning,2026-02-20,3349,0.0,0,0
B0198,P045,Chennai,Deep Home Cleaning,2026-02-10,4668,0.0,0,0
B0199,P033,Hyderabad,Plumbing,2026-03-01,213,0.0,0,0
B0200,P002,Bengaluru,Salon for Men,2026-03-19,1206,0.0,0,0
B0201,P004,Bengaluru,Electrical Repair,2026-02-09,712,0.0,0,0
B0202,P008,Bengaluru,Salon for Women,2026-03-24,813,0.0,0,0
B0203,P011,Mumbai,Deep Home Cleaning,2026-03-04,1670,0.0,0,0
B0204,P039,Hyderabad,Deep Home Cleaning,2026-02-17,2755,1.0,0,0
B0205,P010,Mumbai,Salon for Men,2026-03-02,574,0.0,0,0
B0206,P011,Mumbai,Deep Home Cleaning,2026-01-02,2440,0.0,0,0
B0207,P028,Pune,Electrical Repair,2026-01-02,386,0.0,1,0
B0208,P044,Chennai,Electrical Repair,2026-01-09,1068,0.0,0,0
B0209,P001,Bengaluru,AC Repair & Service,2026-03-10,2493,1.0,1,0
B0210,P002,Bengaluru,Salon for Men,2026-02-09,504,0.0,0,0
B0211,P025,Pune,Deep Home Cleaning,2026-02-22,3380,1.0,0,0
B0212,P002,Bengaluru,Salon for Men,2026-02-28,417,0.0,0,0
B0213,P019,Delhi NCR,Plumbing,2026-03-06,376,0.0,0,0
B0215,P032,Pune,Deep Home Cleaning,2026-01-28,4717,0.0,0,0
B0216,P017,Delhi NCR,Electrical Repair,2026-02-12,1236,0.0,0,0
B0217,P010,Mumbai,Salon for Men,2026-01-10,1270,0.0,0,0
B0218,P004,Bengaluru,Electrical Repair,2026-01-04,1464,0.0,1,0
B0219,P038,Hyderabad,Electrical Repair,2026-01-29,238,0.0,0,0
B0220,P040,Hyderabad,Salon for Men,2026-03-09,722,0.0,0,0
B0221,P008,Bengaluru,Salon for Women,2026-02-05,1979,0.0,0,0
B0222,P047,Chennai,Plumbing,2026-03-19,1316,0.0,0,0
B0223,P027,Pune,Salon for Women,2026-01-23,2568,0.0,0,0
B0224,P038,Hyderabad,Electrical Repair,2026-03-18,916,0.0,0,0
B0225,P045,Chennai,Deep Home Cleaning,2026-03-07,4751,0.0,0,0
B0226,P048,Chennai,Plumbing,2026-01-24,982,1.0,0,0
B0227,P041,Chennai,Plumbing,2026-02-22,588,1.0,0,0
B0228,P041,Chennai,Plumbing,2026-01-12,347,0.0,0,0
B0229,P043,Chennai,Plumbing,2026-02-13,535,0.0,0,0
B0230,P014,Mumbai,Electrical Repair,2026-01-16,1383,0.0,0,0
B0231,P025,Pune,Deep Home Cleaning,2026-02-29,2885,0.0,0,0
B0232,P037,Hyderabad,Deep Home Cleaning,2026-01-12,1827,1.0,0,0
B0233,P047,Chennai,Plumbing,2026-02-22,922,0.0,0,0
B0234,P012,Mumbai,AC Repair & Service,2026-02-16,1393,0.0,0,0
B0235,P007,Bengaluru,Deep Home Cleaning,2026-01-18,2063,0.0,0,0
B0236,P027,Pune,Salon for Women,2026-03-16,3116,0.0,0,0
B0237,P028,Pune,Electrical Repair,2026-01-27,1386,1.0,0,0
B0238,P005,Bengaluru,Deep Home Cleaning,2026-02-12,1127,0.0,1,0
B0239,P033,Hyderabad,Plumbing,2026-01-18,841,0.0,0,0
B0240,P028,Pune,Electrical Repair,2026-03-11,1781,0.0,0,0
B0241,P001,Bengaluru,AC Repair & Service,2026-01-18,2113,1.0,1,0
B0242,P040,Hyderabad,Salon for Men,2026-03-25,1238,0.0,0,0
B0243,P016,Mumbai,Salon for Men,2026-02-03,1096,0.0,1,0
B0244,P015,Mumbai,Salon for Women,2026-02-23,3319,0.0,0,0
B0245,P045,Chennai,Deep Home Cleaning,2026-01-04,1657,0.0,0,0
B0246,P024,Delhi NCR,AC Repair & Service,2026-02-29,1206,0.0,0,0
B0247,P036,Hyderabad,Salon for Men,2026-03-08,1208,0.0,1,0
B0248,P018,Delhi NCR,Deep Home Cleaning,2026-02-07,2984,0.0,0,0
B0249,P026,Pune,Salon for Men,2026-01-21,1186,0.0,1,0
B0250,P044,Chennai,Electrical Repair,2026-03-20,1895,0.0,0,0
B0251,P037,Hyderabad,Deep Home Cleaning,2026-03-20,2357,0.0,0,0
B0252,P016,Mumbai,Salon for Men,2026-02-29,1240,0.0,0,0
B0253,P033,Hyderabad,Plumbing,2026-02-28,1313,0.0,0,0
B0254,P020,Delhi NCR,Deep Home Cleaning,2026-03-25,1922,0.0,0,0
B0255,P023,Delhi NCR,Salon for Women,2026-01-24,1801,1.0,0,0
B0256,P008,Bengaluru,Salon for Women,2026-02-22,2212,0.0,1,0
B0257,P037,Hyderabad,Deep Home Cleaning,2026-03-12,1961,0.0,0,0
B0258,P032,Pune,Deep Home Cleaning,2026-01-27,4222,0.0,0,0
B0259,P022,Delhi NCR,Plumbing,2026-02-15,450,0.0,0,0
B0260,P015,Mumbai,Salon for Women,2026-02-09,2857,0.0,0,0
B0261,P048,Chennai,Plumbing,2026-02-27,1196,0.0,1,0
B0262,P041,Chennai,Plumbing,2026-03-16,1099,0.0,0,0
B0263,P046,Chennai,Deep Home Cleaning,2026-02-21,1145,0.0,0,0
B0264,P036,Hyderabad,Salon for Men,2026-03-23,1064,0.0,0,0
B0265,P020,Delhi NCR,Deep Home Cleaning,2026-03-27,2219,0.0,0,0
B0266,P029,Pune,Deep Home Cleaning,2026-02-16,3517,0.0,0,0
B0267,P036,Hyderabad,Salon for Men,2026-01-05,1414,0.0,0,0
B0268,P032,Pune,Deep Home Cleaning,2026-02-11,3453,0.0,1,0
B0269,P014,Mumbai,Electrical Repair,2026-01-08,1349,0.0,0,0
B0270,P002,Bengaluru,Salon for Men,2026-03-03,671,1.0,1,0
B0271,P029,Pune,Deep Home Cleaning,2026-01-28,4756,0.0,0,0
B0272,P004,Bengaluru,Electrical Repair,2026-03-01,1152,0.0,0,0
B0273,P028,Pune,Electrical Repair,2026-03-04,423,0.0,0,0
B0274,P013,Mumbai,AC Repair & Service,2026-02-16,511,0.0,0,0
B0275,P011,Mumbai,Deep Home Cleaning,2026-03-30,1247,0.0,0,0
B0276,P006,Bengaluru,AC Repair & Service,2026-03-15,1316,0.0,0,0
B0277,P011,Mumbai,Deep Home Cleaning,2026-02-10,4664,1.0,0,0
B0278,P013,Mumbai,AC Repair & Service,2026-02-26,1306,1.0,0,0
B0279,P007,Bengaluru,Deep Home Cleaning,2026-01-23,4097,1.0,0,0
B0280,P027,Pune,Salon for Women,2026-03-27,2105,1.0,0,0
B0281,P043,Chennai,Plumbing,2026-01-07,820,0.0,0,0
B0282,P002,Bengaluru,Salon for Men,2026-01-10,1303,0.0,0,0
B0283,P035,Hyderabad,Electrical Repair,2026-02-11,1709,0.0,0,0
B0284,P027,Pune,Salon for Women,2026-03-19,2501,0.0,0,0
B0285,P018,Delhi NCR,Deep Home Cleaning,2026-02-28,1730,1.0,0,0
B0286,P009,Mumbai,Deep Home Cleaning,2026-01-02,3302,0.0,0,0
B0287,P041,Chennai,Plumbing,2026-03-04,202,0.0,0,0
B0288,P047,Chennai,Plumbing,2026-01-01,348,0.0,0,0
B0289,P001,Bengaluru,AC Repair & Service,2026-03-14,1867,0.0,0,0
B0290,P032,Pune,Deep Home Cleaning,2026-02-03,1153,0.0,0,0
B0291,P033,Hyderabad,Plumbing,2026-03-08,1044,0.0,0,0
B0292,P033,Hyderabad,Plumbing,2026-01-04,1275,0.0,0,0
B0293,P037,Hyderabad,Deep Home Cleaning,2026-01-10,4571,1.0,0,0
B0294,P047,Chennai,Plumbing,2026-03-05,1043,0.0,0,0
B0295,P038,Hyderabad,Electrical Repair,2026-01-18,801,0.0,0,0
B0296,P036,Hyderabad,Salon for Men,2026-02-28,1037,0.0,0,0
B0297,P023,Delhi NCR,Salon for Women,2026-01-27,1618,0.0,0,0
B0298,P042,Chennai,Deep Home Cleaning,2026-02-09,4112,0.0,0,0
B0299,P029,Pune,Deep Home Cleaning,2026-03-23,1590,1.0,0,0
B0300,P022,Delhi NCR,Plumbing,2026-02-21,703,1.0,0,0
B0301,P025,Pune,Deep Home Cleaning,2026-01-18,3509,0.0,0,0
B0302,P006,Bengaluru,AC Repair & Service,2026-02-18,2456,0.0,1,0
B0303,P044,Chennai,Electrical Repair,2026-01-18,1980,0.0,0,0
B0304,P029,Pune,Deep Home Cleaning,2026-03-26,3531,0.0,0,0
B0305,P026,Pune,Salon for Men,2026-03-10,360,0.0,0,0
B0306,P017,Delhi NCR,Electrical Repair,2026-02-22,1275,1.0,1,0
B0307,P016,Mumbai,Salon for Men,2026-03-24,646,1.0,1,0
B0308,P035,Hyderabad,Electrical Repair,2026-02-28,1249,0.0,0,0
B0309,P025,Pune,Deep Home Cleaning,2026-02-01,2942,0.0,0,0
B0310,P028,Pune,Electrical Repair,2026-01-25,1337,1.0,0,0
B0311,P036,Hyderabad,Salon for Men,2026-03-23,475,0.0,0,0
B0312,P029,Pune,Deep Home Cleaning,2026-03-06,3940,0.0,0,0
B0313,P046,Chennai,Deep Home Cleaning,2026-02-17,1300,1.0,1,0
B0314,P031,Pune,Salon for Women,2026-03-16,2332,0.0,0,0
B0315,P026,Pune,Salon for Men,2026-02-09,983,0.0,0,0
B0316,P035,Hyderabad,Electrical Repair,2026-02-12,1302,0.0,0,0
B0317,P028,Pune,Electrical Repair,2026-03-18,1238,0.0,0,0
B0318,P008,Bengaluru,Salon for Women,2026-03-19,2786,0.0,0,0
B0319,P046,Chennai,Deep Home Cleaning,2026-01-14,1947,0.0,0,0
B0320,P026,Pune,Salon for Men,2026-02-23,1396,0.0,0,0
B0321,P020,Delhi NCR,Deep Home Cleaning,2026-02-14,2247,0.0,0,0
B0322,P014,Mumbai,Electrical Repair,2026-01-23,655,0.0,0,0
B0323,P008,Bengaluru,Salon for Women,2026-01-18,2720,0.0,0,0
B0324,P045,Chennai,Deep Home Cleaning,2026-02-17,4166,1.0,1,0
B0325,P004,Bengaluru,Electrical Repair,2026-03-17,1996,0.0,0,0
B0326,P034,Hyderabad,Salon for Women,2026-03-12,3386,0.0,0,0
B0327,P023,Delhi NCR,Salon for Women,2026-03-18,1584,1.0,0,0
B0328,P008,Bengaluru,Salon for Women,2026-02-09,3283,0.0,0,0
B0329,P028,Pune,Electrical Repair,2026-03-08,1610,0.0,0,0
B0330,P048,Chennai,Plumbing,2026-01-12,436,0.0,0,0
B0331,P017,Delhi NCR,Electrical Repair,2026-03-25,1995,0.0,0,0
B0332,P042,Chennai,Deep Home Cleaning,2026-03-23,4153,0.0,0,0
B0333,P041,Chennai,Plumbing,2026-02-10,1162,0.0,1,0
B0334,P028,Pune,Electrical Repair,2026-03-01,1409,0.0,0,0
B0335,P044,Chennai,Electrical Repair,2026-01-06,353,0.0,0,0
B0336,P040,Hyderabad,Salon for Men,2026-03-13,725,0.0,0,0
B0337,P022,Delhi NCR,Plumbing,2026-02-26,1458,1.0,0,0
B0338,P001,Bengaluru,AC Repair & Service,2026-02-18,2429,0.0,0,0
B0339,P030,Pune,Electrical Repair,2026-02-11,938,0.0,0,0
B0340,P020,Delhi NCR,Deep Home Cleaning,2026-01-21,1800,0.0,0,0
B0341,P031,Pune,Salon for Women,2026-01-01,3294,0.0,0,0
B0342,P040,Hyderabad,Salon for Men,2026-01-04,863,0.0,0,0
B0343,P002,Bengaluru,Salon for Men,2026-01-20,877,0.0,0,0
B0344,P043,Chennai,Plumbing,2026-02-10,623,1.0,0,0
B0345,P026,Pune,Salon for Men,2026-01-07,517,0.0,0,0
B0346,P046,Chennai,Deep Home Cleaning,2026-02-27,3946,1.0,0,0
B0347,P038,Hyderabad,Electrical Repair,2026-01-09,1129,0.0,0,0
B0348,P025,Pune,Deep Home Cleaning,2026-02-25,2949,0.0,0,0
B0349,P003,Bengaluru,AC Repair & Service,2026-03-23,1237,0.0,0,0
B0350,P024,Delhi NCR,AC Repair & Service,2026-03-25,1822,1.0,0,0
B0351,P006,Bengaluru,AC Repair & Service,2026-02-18,1426,0.0,0,0
B0352,P045,Chennai,Deep Home Cleaning,2026-03-25,3868,0.0,0,0
B0353,P043,Chennai,Plumbing,2026-01-03,428,0.0,1,0
B0354,P001,Bengaluru,AC Repair & Service,2026-03-05,1653,0.0,0,0
B0355,P008,Bengaluru,Salon for Women,2026-01-23,2785,0.0,0,0
B0356,P001,Bengaluru,AC Repair & Service,2026-03-25,540,0.0,0,0
B0357,P036,Hyderabad,Salon for Men,2026-01-01,1259,0.0,1,0
B0358,P007,Bengaluru,Deep Home Cleaning,2026-02-16,2891,0.0,0,0
